iter	Passed	Remaining
424	2209	909
425	2214	904
426	2218	898
427	2223	893
428	2228	888
429	2233	882
430	2237	877
431	2242	871
432	2247	866
433	2251	861
434	2256	855
435	2261	850
436	2266	845
437	2271	840
438	2275	834
439	2280	829
440	2286	824
441	2290	818
442	2295	813
443	2301	808
444	2305	803
445	2311	798
446	2315	792
447	2321	787
448	2326	782
449	2331	777
450	2336	772
451	2341	766
452	2346	761
453	2351	756
454	2357	751
455	2362	746
456	2367	740
457	2372	735
458	2377	730
459	2381	724
460	2386	719
461	2391	714
462	2396	709
463	2401	703
464	2406	698
465	2411	693
466	2416	688
467	2421	683
468	2426	677
469	2431	672
470	2436	667
471	2441	662
472	2446	656
473	2450	651
474	2456	646
475	2461	641
476	2466	635
477	2470	630
478	2476	625
479	2480	620
480	2485	614
481	2490	609
482	2494	604
483	2499	599
484	2504	593
485	2509	588
486	2514	583
487	2519	578
488	2524	573
489	2530	568
490	2535	562
491	2539	557
492	2544	552
493	2549	547
494	2554	541
495	2558	536
496	2563	531
497	2568	525
498	2572	520
499	2577	515
500	2582	510
501	2586	504
502	2591	499
503	2596	494
504	2601	489
505	2606	484
506	2611	478
507	2616	473
508	2621	468
509	2625	463
510	2630	458
511	2635	452
512	2640	447
513	2645	442
514	2649	437
515	2655	432
516	2660	427
517	2664	421
518	2669	416
519	2674	411
520	2679	406
521	2684	401
522	2689	395
523	2694	390
524	2699	385
525	2704	380
526	2709	375
527	2714	370
528	2719	365
529	2725	359
530	2730	354
531	2735	349
532	2741	344
533	2746	339
534	2751	334
535	2757	329
536	2762	324
537	2767	318
538	2772	313
539	2777	308
540	2782	303
541	2787	298
542	2792	293
543	2797	287
544	2802	282
545	2807	277
546	2813	272
547	2818	267
548	2823	262
549	2828	257
550	2834	252
551	2839	246
552	2843	241
553	2849	236
554	2854	231
555	2858	226
556	2863	221
557	2869	216
558	2875	210
559	2881	205
560	2887	200
561	2893	195
562	2900	190
563	2906	185
564	2912	180
565	2917	175
566	2922	170
567	2929	165
568	2935	159
569	2942	154
570	2949	149
571	2955	144
572	2962	139
573	2968	134
574	2973	129
575	2979	124
576	2984	118
577	2991	113
578	2997	108
579	3002	103
580	3007	98
581	3012	93
582	3017	87
583	3022	82
584	3027	77
585	3032	72
586	3037	67
587	3042	62
588	3047	56
589	3053	51
590	3058	46
591	3062	41
592	3068	36
593	3073	31
594	3077	25
595	3082	20
596	3088	15
597	3094	10
598	3100	5
599	3105	0
